GL000193.1	1.000
GL000219.1	1.000
GL000223.1	1.000
GL000227.1	2.000
GL000192.1	2.000
GL000247.1	0.000
GL000210.1	0.000
GL000239.1	0.000
GL000191.1	1.000
GL000235.1	0.000
GL000238.1	1.000
GL000246.1	0.000
GL000194.1	1.000
GL000249.1	0.000
GL000237.1	1.000
GL000200.1	1.000
GL000244.1	0.000
GL000212.1	0.000
20	2.000
21	2.000
22	2.000
GL000196.1	0.000
GL000202.1	0.000
GL000204.1	2.000
GL000207.1	2.000
GL000197.1	0.000
GL000213.1	3.000
GL000205.1	0.000
1	2.000
3	1.000
2	2.000
5	1.000
4	1.000
GL000208.1	1.000
6	1.000
GL000215.1	1.000
8	1.000
GL000199.1	2.000
GL000214.1	1.000
GL000224.1	0.000
GL000245.1	0.000
GL000220.1	0.000
GL000243.1	0.000
GL000242.1	0.000
GL000221.1	2.000
GL000209.1	0.000
GL000203.1	1.000
GL000195.1	0.000
9	2.000
GL000226.1	2.000
GL000234.1	1.000
7	1.000
GL000229.1	0.000
GL000241.1	0.000
Y	1.000
X	1.000
GL000222.1	1.000
GL000228.1	6.000
GL000232.1	0.000
GL000211.1	1.000
11	1.000
10	1.000
13	1.000
GL000201.1	0.000
15	2.000
14	1.000
GL000198.1	2.000
GL000236.1	1.000
19	2.000
18	1.000
GL000231.1	2.000
16	2.000
GL000240.1	0.000
GL000233.1	0.000
GL000216.1	1.000
GL000217.1	1.000
MT	0.000
GL000230.1	0.000
GL000225.1	1.000
GL000206.1	1.000
GL000218.1	0.000
12	2.000
17	2.000
GL000248.1	0.000
